SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_50_64,1225,23400,659,8300,219,13300,238,5200,224,6000,
seq_50_65,1225,20300,722,8700,218,13100,242,4400,280,6900,
seq_50_66,1225,20300,689,8600,228,15900,254,5600,272,6700,
seq_50_67,1225,18900,581,7500,224,13600,252,5200,239,6000,
seq_50_68,1225,20000,604,7800,222,14700,230,5100,239,6300,
seq_50_69,1225,18700,585,7500,222,12500,261,4900,254,5900,
seq_50_70,1225,18900,587,7500,225,13600,228,4900,235,5800,
seq_50_71,1225,19000,602,7600,224,11000,231,4400,229,5400,
seq_50_72,1225,19800,695,8500,228,11800,255,5000,276,6700,
seq_50_73,1225,19600,656,8100,219,14900,358,6300,259,6100,
seq_50_74,1225,18000,522,6700,214,11100,275,5600,282,6500,
seq_50_75,1225,18300,428,5900,213,14300,285,6100,300,7100,
seq_50_76,1225,19000,600,7700,225,15300,244,5400,319,6600,
seq_50_77,1225,20200,665,8400,221,12500,223,4900,284,6900,
seq_50_78,1225,20600,689,8600,228,13700,231,4800,256,6200,
seq_50_79,1225,18300,543,7000,222,13400,287,5500,225,9200,
seq_50_80,1225,19600,618,7700,223,11200,242,4800,260,6400,
seq_50_81,1225,19800,683,8400,215,11700,262,5000,265,6000,
seq_50_82,1225,19400,593,7500,218,11200,281,4900,221,5900,
seq_50_83,1225,19700,665,8400,223,13300,226,4900,227,5600,
seq_50_84,1225,19600,659,8100,221,14100,275,5300,215,5700,
seq_50_85,1225,18600,572,7200,225,11400,261,5100,261,6000,
seq_50_86,1225,19200,603,7600,219,11800,231,4700,246,5800,
seq_50_87,1225,18800,574,7300,220,12600,216,4800,218,10100,
seq_50_88,1225,18200,555,7100,219,11000,285,5600,263,6000,
seq_50_89,1225,18800,588,7400,221,11900,227,4700,231,5500,
seq_50_90,1225,19500,624,7700,225,12800,258,4900,248,5800,
seq_50_91,1225,18300,542,7000,215,11600,229,4600,261,6200,
seq_50_92,1225,22100,561,7300,223,13000,263,5200,254,6000,
seq_50_93,1225,20300,689,8500,225,11300,245,5000,203,5400,
seq_50_94,1225,18300,549,7000,224,12100,261,5500,252,6100,
seq_50_95,1225,18800,591,7400,211,11900,249,4600,232,5500,
seq_50_96,1225,20000,682,8400,216,11300,251,5100,232,5700,
seq_50_97,1225,18900,584,7600,218,13200,264,4800,261,6400,
seq_50_98,1225,18800,545,7000,218,13600,275,5600,298,6500,
seq_50_99,1225,20000,632,7900,214,11400,240,4700,226,5800,
seq_100_0,4950,73500,2413,27200,545,25200,663,12600,547,12200,
seq_100_1,4950,76100,2544,28500,529,23300,648,10400,628,13600,
seq_100_2,4950,75700,2590,29000,550,25100,739,12500,625,13800,
seq_100_3,4950,77600,2676,30000,548,22800,668,11400,689,16700,
seq_100_4,4950,75600,2506,28200,539,25200,804,11800,634,12900,
seq_100_5,4950,73500,2318,26200,540,24900,599,10700,670,13200,
seq_100_6,4950,77300,2418,27200,538,24900,700,11200,651,13000,
seq_100_7,4950,77300,2380,26900,539,24300,650,12100,631,13300,
seq_100_8,4950,76400,2758,34100,533,22800,607,10900,583,13000,
seq_100_9,4950,76400,2681,30000,548,24500,646,11700,643,13800,
seq_100_10,4950,88400,2482,37400,540,23600,686,12300,592,12700,
seq_100_11,4950,77400,2431,27300,538,27700,574,10300,565,12300,
seq_100_12,4950,74200,2404,32400,545,23800,628,12000,650,12900,
seq_100_13,4950,77500,2707,30200,546,27800,603,10700,566,12000,
seq_100_14,4950,72800,2379,26800,533,26300,675,11300,587,14600,
seq_100_15,4950,73500,2104,24000,541,28400,685,11000,595,12600,
seq_100_16,4950,80400,3045,36800,546,26200,706,11400,649,13900,
seq_100_17,4950,74200,2434,27300,545,28300,656,10400,588,12800,
seq_100_18,4950,74200,2346,26400,535,24200,659,10700,611,13300,
seq_100_19,4950,74100,2263,26000,548,27100,671,12500,568,14000,
seq_100_20,4950,76000,2637,29600,538,27100,591,11100,607,13400,
seq_100_21,4950,80100,2628,29600,544,24700,643,11700,568,12300,
seq_100_22,4950,76300,2629,33100,541,27000,618,11700,599,13300,
seq_100_23,4950,74900,2391,27100,533,24800,734,12100,627,13500,
seq_100_24,4950,76200,2569,28800,552,33800,633,11400,689,15000,
seq_100_25,4950,76900,2608,29300,537,28900,685,11900,803,14900,
seq_100_26,4950,78900,2519,28300,548,26900,650,11800,551,12400,
seq_100_27,4950,74200,2420,31200,541,25900,576,11400,640,13600,
seq_100_28,4950,74500,2442,27600,542,27000,573,10600,594,13200,
seq_100_29,4950,73400,2330,26500,549,29200,671,11500,759,15300,
seq_100_30,4950,75500,2398,27100,544,26800,593,10800,660,13200,
seq_100_31,4950,79100,2664,29700,545,24800,603,11000,711,13900,
seq_100_32,4950,74100,2422,27100,544,22800,618,14800,648,13000,
seq_100_33,4950,74400,2385,26900,544,28900,628,9900,763,15500,
seq_100_34,4950,74500,2481,27900,539,860700,634,12200,631,13300,
seq_100_35,4950,82300,2780,30800,549,18100,627,9900,599,13000,
seq_100_36,4950,76400,2536,31600,542,18600,619,10300,598,13000,
seq_100_37,4950,76400,2424,27300,544,18900,630,11700,695,13500,
seq_100_38,4950,76800,2605,29200,534,19800,671,12000,670,14700,
seq_100_39,4950,76200,2266,25800,546,19900,621,11100,656,13500,
seq_100_40,4950,75000,2549,39800,544,21200,629,10500,596,13300,
seq_100_41,4950,76900,2561,28700,545,21300,619,12100,695,14600,
seq_100_42,4950,74800,2469,27900,542,20100,659,12300,689,13800,
seq_100_43,4950,75600,2513,28400,536,20000,663,11300,591,14000,
seq_100_44,4950,126600,2692,30500,537,21500,658,11700,587,13200,
seq_100_45,4950,74300,2367,27000,549,19800,610,11900,650,14800,
seq_100_46,4950,74300,2303,26000,542,18300,718,13000,579,12000,
seq_100_47,4950,78500,2521,28100,539,18100,639,11300,707,13600,
seq_100_48,4950,74600,2420,27300,532,19800,605,11500,600,14100,
seq_100_49,4950,76700,2711,30400,533,19600,657,11400,719,14000,
seq_100_50,4950,75500,2469,27800,537,20000,679,11600,655,14700,
seq_100_51,4950,75700,2698,30100,544,20000,615,11300,724,15300,
seq_100_52,4950,76100,2685,30000,541,27400,654,12400,711,14200,
seq_100_53,4950,73900,2337,26400,535,26900,561,10800,618,13500,
seq_100_54,4950,72500,2226,25200,532,18200,765,12600,633,13400,
seq_100_55,4950,72300,2264,25500,539,18100,707,11100,555,12700,
seq_100_56,4950,74900,2372,26600,534,18000,597,10900,612,12600,
seq_100_57,4950,74900,2426,27200,545,22500,729,11300,736,15400,
seq_100_58,4950,75100,2522,28200,541,17600,608,11100,621,13800,
seq_100_59,4950,81800,2861,31800,533,19700,620,11300,600,13200,
seq_100_60,4950,71700,2270,25800,542,19600,605,10900,566,13100,
seq_100_61,4950,78300,2471,27900,543,19400,672,11000,756,14700,
seq_100_62,4950,74600,2457,31400,527,19600,655,12300,611,14000,
seq_100_63,4950,75400,2567,28900,533,19500,669,12200,786,15100,
seq_100_64,4950,71000,2012,23200,548,19400,617,11200,789,16000,
seq_100_65,4950,78400,2598,29200,539,19300,691,11100,711,14200,
seq_100_66,4950,73200,2364,30400,538,19800,535,10800,663,13600,
seq_100_67,4950,75900,2558,28700,544,19300,653,10900,629,17700,
seq_100_68,4950,74800,2561,28700,550,18700,639,11100,748,13300,
seq_100_69,4950,74200,2494,27900,549,17900,687,15100,727,13900,
seq_100_70,4950,78200,2348,26400,534,18300,561,10500,786,14600,
seq_100_71,4950,77000,2571,28800,543,18100,715,11900,658,17200,
seq_100_72,4950,71400,2158,24500,549,17900,680,11300,582,12700,
seq_100_73,4950,75500,2443,27600,545,19900,573,10800,661,14000,
seq_100_74,4950,74200,2307,26100,540,19700,559,10600,740,14300,
seq_100_75,4950,75400,2276,25800,546,19600,693,12700,646,13800,
seq_100_76,4950,76800,2584,32600,547,19800,709,10800,582,13100,
seq_100_77,4950,77100,2754,30700,534,19100,680,11800,717,14200,
seq_100_78,4950,76500,2693,30200,534,19600,715,12200,616,12100,
seq_100_79,4950,81100,2799,31200,540,19600,702,11800,640,14300,
seq_100_80,4950,77100,2355,26700,543,19800,584,10600,717,13500,
seq_100_81,4950,72800,2409,27200,549,19800,614,15900,638,12600,
seq_100_82,4950,73600,2341,26500,542,19200,649,15400,703,15100,
seq_100_83,4950,77200,2703,30100,540,18600,686,11900,580,12300,
seq_100_84,4950,75700,2476,27900,528,17900,665,10500,710,14900,
seq_100_85,4950,75500,2382,26800,526,18000,591,10100,639,13100,
seq_100_86,4950,74400,2466,27600,544,18100,646,14300,590,13400,
seq_100_87,4950,73400,2342,26400,541,17800,829,13700,603,13900,
seq_100_88,4950,74900,2471,27600,533,18000,754,12300,616,12400,
seq_100_89,4950,76700,2397,26900,541,18100,683,10100,605,12300,
seq_100_90,4950,72300,2320,26200,534,17700,650,12200,674,16600,
seq_100_91,4950,78900,2562,28900,534,19700,660,10700,836,15200,
seq_100_92,4950,76900,2758,30600,551,18300,678,11400,557,12500,
seq_100_93,4950,73000,2390,27000,540,18100,756,12400,626,12900,
seq_100_94,4950,73100,2049,23300,543,18000,753,12000,669,13700,
seq_100_95,4950,73200,2346,26600,538,21400,608,11100,561,12700,
seq_100_96,4950,75500,2485,27800,543,17900,549,10900,566,12600,
seq_100_97,4950,73300,2325,26500,540,18700,660,10400,605,13000,
seq_100_98,4950,80700,2705,30200,540,22100,650,10900,706,15500,
seq_100_99,4950,73900,2466,27600,537,21900,658,11300,632,13700,
seq_150_0,11175,168400,5654,61600,892,28900,1048,17700,1100,21900,
seq_150_1,11175,173300,5630,61300,899,28900,1161,19000,1159,21000,
seq_150_2,11175,169100,5565,60600,886,32100,1000,17800,1014,20900,
seq_150_3,11175,175700,6081,65700,903,28600,968,17300,1097,22300,
seq_150_4,11175,228600,5801,63100,904,32000,1181,17000,1051,26200,
seq_150_5,11175,170800,5779,66200,904,29600,1004,18500,1055,19800,
seq_150_6,11175,167300,5476,59500,909,29000,1291,20900,1007,20600,
seq_150_7,11175,167400,5750,62400,899,28400,1005,18500,1015,24700,
seq_150_8,11175,160900,5097,59000,904,28000,1024,18500,1068,20300,
seq_150_9,11175,166100,5256,57400,897,28800,1053,17400,1177,21800,
seq_150_10,11175,166600,5146,56100,912,28500,1128,20500,1078,21800,
seq_150_11,11175,165700,5234,60500,906,29300,1118,19200,1099,21000,
seq_150_12,11175,176500,6110,66000,891,28400,1142,19300,1001,20700,
seq_150_13,11175,169000,5691,61700,907,28700,1009,17900,1003,24500,
seq_150_14,11175,169300,5704,64900,885,28500,1031,17400,1122,21300,
seq_150_15,11175,178000,5881,65000,888,28800,1033,17700,1155,23000,
seq_150_16,11175,172800,5530,60300,900,30200,1030,17900,1040,21300,
seq_150_17,11175,175400,5694,62000,912,30100,1013,18200,1066,21200,
seq_150_18,11175,175800,5808,66100,895,28700,989,18500,1128,21800,
seq_150_19,11175,213700,5419,59100,911,32200,1112,19400,1121,22700,
seq_150_20,11175,173000,6185,67000,909,30500,1047,18400,1115,22600,
seq_150_21,11175,167800,5704,65900,894,30400,1088,18700,985,20700,
seq_150_22,11175,170100,5334,58200,898,29400,1101,17200,1005,21400,
seq_150_23,11175,169400,5326,58000,899,28900,1026,20800,1039,20500,
seq_150_24,11175,166500,5288,61100,904,30700,1169,19600,1053,19800,
seq_150_25,11175,170800,5083,55700,887,29800,1016,18000,1041,20800,
seq_150_26,11175,171600,5603,61000,897,29700,1090,16900,1089,22500,
seq_150_27,11175,168900,5359,58400,904,28700,985,16300,977,20200,
seq_150_28,11175,174600,6269,71000,899,28200,1094,18500,1089,21100,
seq_150_29,11175,166700,5113,55900,901,28400,1029,17200,1166,22900,
seq_150_30,11175,171400,5666,61600,890,28700,996,17300,1004,20200,
seq_150_31,11175,170300,5685,65000,900,29200,1070,17800,1136,22100,
seq_150_32,11175,172200,5792,62700,898,28400,1246,20900,986,20400,
seq_150_33,11175,174900,5901,63900,902,28500,1111,18900,1046,24500,
seq_150_34,11175,171100,6066,65700,901,34200,949,17600,1177,22400,
seq_150_35,11175,222200,5821,63400,905,32500,1040,18300,1049,21400,
seq_150_36,11175,182900,5870,63800,883,30700,1030,18500,920,23200,
seq_150_37,11175,169900,5782,66900,895,31300,1032,17900,1110,21300,
seq_150_38,11175,176200,5720,62300,911,29900,1050,19100,1262,24300,
seq_150_39,11175,168800,5616,61200,911,33900,1061,17500,942,21000,
seq_150_40,11175,167300,5237,57300,897,30400,977,17000,934,20800,
seq_150_41,11175,177200,5998,65100,897,30900,1071,17600,964,20200,
seq_150_42,11175,167100,5535,64000,893,30500,954,16900,1146,21200,
seq_150_43,11175,166500,5072,55500,896,30300,917,16800,1085,20800,
seq_150_44,11175,169800,5518,60300,903,30600,951,17000,1073,22300,
seq_150_45,11175,162200,5257,61200,903,30200,1121,19000,1031,22200,
seq_150_46,11175,175700,5626,61300,898,30400,1193,19400,1248,23700,
seq_150_47,11175,167400,5272,57700,890,30600,987,17400,1029,23600,
seq_150_48,11175,164500,5380,62900,896,30200,1408,21700,1029,21900,
seq_150_49,11175,168400,5563,64100,890,29800,1005,17000,1080,21000,
seq_150_50,11175,169400,5650,61400,880,28600,1087,18100,1151,22900,
seq_150_51,11175,171000,5665,63000,891,29100,1143,20700,1118,21900,
seq_150_52,11175,175600,5971,64800,899,30600,1099,18200,1196,22600,
seq_150_53,11175,164900,5456,59700,891,33700,1043,19000,1093,22300,
seq_150_54,11175,170300,5250,57400,908,30100,1273,21300,1008,22000,
seq_150_55,11175,177600,5883,63900,888,30500,1113,17900,1115,22300,
seq_150_56,11175,173500,5902,67500,903,30000,1001,17800,1100,22400,
seq_150_57,11175,178000,5797,63000,908,30400,997,16800,1059,21100,
seq_150_58,11175,174400,5927,64400,904,30800,1130,18900,1017,21800,
seq_150_59,11175,171800,5749,65900,910,29800,1190,20400,1041,20300,
seq_150_60,11175,175100,5990,65000,917,30100,1112,17800,1216,23900,
seq_150_61,11175,162900,5128,56100,895,34100,1019,18200,1132,22900,
seq_150_62,11175,175800,5709,62200,901,30800,1149,18500,1166,23400,
seq_150_63,11175,169500,5078,55700,907,30100,1045,19000,1088,22400,
seq_150_64,11175,180600,5710,62200,899,30600,1120,19000,1049,21400,
seq_150_65,11175,213400,5218,57300,912,34600,970,17900,1084,22600,
seq_150_66,11175,175600,6065,65800,875,30900,1054,18200,1131,21500,
seq_150_67,11175,172300,5761,62800,899,30000,1140,19100,1298,24500,
seq_150_68,11175,172900,5884,67700,901,31000,1140,19600,1136,21800,
seq_150_69,11175,169500,5401,59000,892,30200,1054,18000,1032,21100,
seq_150_70,11175,169000,5261,57600,894,30600,1045,22100,1188,25300,
seq_150_71,11175,169500,5248,57300,901,29900,1102,18700,1068,21300,
seq_150_72,11175,167700,5184,56800,903,30100,1120,18000,1111,24000,
seq_150_73,11175,165900,5510,60200,908,34200,1187,21500,1312,22000,
seq_150_74,11175,178400,5945,64700,896,29900,1064,17500,992,21300,
seq_150_75,11175,168700,5043,55300,893,30000,1092,19400,1160,23200,
seq_150_76,11175,166700,5518,63900,895,30400,1103,17800,1077,20900,
seq_150_77,11175,169900,5454,59500,903,29700,1085,18300,1149,22000,
seq_150_78,11175,166100,5713,62100,903,29700,1120,18400,1109,24400,
seq_150_79,11175,166100,5450,63400,890,30400,1120,18200,1047,23100,
seq_150_80,11175,178900,6215,67500,904,30100,980,16700,1074,21700,
seq_150_81,11175,173300,5613,61200,902,30200,1128,19300,1079,112600,
seq_150_82,11175,164000,5349,58500,905,34400,1107,18600,1111,22500,
seq_150_83,11175,173400,5575,60700,913,30000,1160,19200,1064,21900,
seq_150_84,11175,168400,5105,56000,887,29800,1145,17700,1239,23600,
seq_150_85,11175,169800,5700,65800,891,30500,1023,18800,1001,21500,
seq_150_86,11175,168800,5491,59800,912,30300,1015,18000,1046,21800,
seq_150_87,11175,171600,5836,63500,893,29700,1085,22400,1181,23400,
seq_150_88,11175,171500,6090,66000,894,30300,1081,19700,1172,22700,
seq_150_89,11175,168300,5666,65200,898,30600,1139,18500,1047,22700,
seq_150_90,11175,175000,5993,65100,904,30000,1146,16700,1175,23600,
seq_150_91,11175,163300,5049,55300,892,30100,1076,21800,1045,21600,
seq_150_92,11175,169000,5673,61800,892,30300,1057,18800,1204,23200,
seq_150_93,11175,169200,5292,57900,891,30100,1000,18000,1098,23300,
seq_150_94,11175,173200,6323,68400,890,33400,1078,17500,1000,21200,
seq_150_95,11175,253100,5461,66100,894,32200,1103,19200,1092,21900,
seq_150_96,11175,165700,5399,62700,900,276700,950,17600,1096,22500,
seq_150_97,11175,165700,5495,60000,907,34400,1035,18400,1039,21400,
seq_150_98,11175,171900,5442,59500,893,31000,1222,18900,969,20300,
seq_150_99,11175,172400,5426,59200,909,30000,1199,21700,1097,21400,
seq_200_0,19900,298700,9280,101200,1280,41000,1637,30900,1484,28200,
seq_200_1,19900,308800,10801,115600,1270,41000,1329,23200,1825,30800,
seq_200_2,19900,303300,10376,111000,1292,39700,1600,26800,1759,32100,
seq_200_3,19900,301100,9592,102800,1285,39800,1613,27500,1652,31600,
seq_200_4,19900,298200,9651,103500,1290,39800,1647,27500,1509,28600,
seq_200_5,19900,300900,10011,111000,1279,41500,1625,30200,1493,28600,
seq_200_6,19900,311500,10817,118100,1282,41100,1668,26000,1696,32400,
seq_200_7,19900,306300,9680,103900,1278,41100,1559,25500,1552,30700,
seq_200_8,19900,308400,9900,106300,1285,41200,1579,24800,1505,29200,
seq_200_9,19900,304900,9847,105700,1277,42900,1625,26000,1529,33700,
seq_200_10,19900,293900,8684,93700,1272,41400,1720,27400,1548,31400,
seq_200_11,19900,304300,9692,104100,1261,40800,1627,30200,1466,29500,
seq_200_12,19900,311600,10372,111000,1277,41100,1757,26100,1441,28400,
seq_200_13,19900,301900,9848,108200,1269,41700,1531,25500,1561,31300,
seq_200_14,19900,309900,10023,110200,1297,41100,1501,24000,1575,28800,
seq_200_15,19900,304600,9356,100600,1289,41100,1581,27200,1490,30200,
seq_200_16,19900,306600,9661,103700,1269,41100,1414,25200,1547,30900,
seq_200_17,19900,299300,9501,112800,1284,41500,1618,27700,1624,29800,
seq_200_18,19900,343800,11104,123600,1282,41500,1526,25100,1610,31400,
seq_200_19,19900,311200,10541,112800,1280,42000,1613,28100,1661,30000,
seq_200_20,19900,305500,9592,103500,1265,41600,1508,25000,1486,29600,
seq_200_21,19900,308800,9749,104600,1283,41800,1567,26500,1486,33200,
seq_200_22,19900,305600,9925,106700,1278,41600,1512,28400,1361,27800,
seq_200_23,19900,307700,10156,109100,1292,44200,1877,27600,1612,30900,
seq_200_24,19900,298900,9416,103800,1280,41500,1587,24200,1538,29900,
seq_200_25,19900,302700,9962,109500,1282,41200,1548,26600,1630,29100,
seq_200_26,19900,305900,9730,106900,1294,41400,1400,24400,1507,29800,
seq_200_27,19900,305200,9999,108500,1284,41400,1575,23500,1555,29100,
seq_200_28,19900,304700,10397,111400,1280,41500,1655,27300,1475,29300,
seq_200_29,19900,310700,10214,109400,1263,41200,1539,26400,1464,31300,
seq_200_30,19900,311200,10449,114900,1266,41700,1592,24200,1587,29400,
seq_200_31,19900,307700,9940,109400,1298,40900,1621,27600,1655,30900,
seq_200_32,19900,308100,9924,109200,1274,40800,1458,24900,1493,29600,
seq_200_33,19900,302300,9241,99400,1278,41500,1646,26100,1535,30500,
seq_200_34,19900,299000,9724,107500,1286,41000,1423,23500,1879,34600,
seq_200_35,19900,307700,9997,110000,1299,41000,1534,24200,1448,29700,
seq_200_36,19900,310600,10463,114600,1267,40800,1465,25700,1487,29100,
seq_200_37,19900,305000,10248,109700,1291,40900,1421,25600,1685,31800,
seq_200_38,19900,306100,10170,114200,1271,41000,1311,23100,1547,32000,
seq_200_39,19900,298100,9279,102500,1281,42600,1450,24800,1838,31700,
seq_200_40,19900,301600,9887,108400,1281,42000,1516,24500,1438,27700,
seq_200_41,19900,303600,9812,105300,1278,41600,1611,25800,1786,31800,
seq_200_42,19900,309700,10073,107900,1292,40700,1522,25600,1605,35100,
seq_200_43,19900,306000,10103,108300,1286,41100,1431,27300,1466,30000,
seq_200_44,19900,308300,10071,108000,1299,44400,1393,25200,1733,31200,
seq_200_45,19900,309100,9970,109600,1273,40600,1482,25400,1706,30300,
seq_200_46,19900,301200,9747,107300,1286,41400,1495,24000,1809,35000,
seq_200_47,19900,306700,10333,110600,1285,41000,1901,26200,1547,30800,
seq_200_48,19900,299700,9853,105700,1279,45300,1435,24200,1433,28600,
seq_200_49,19900,302100,9967,106900,1281,41300,1699,28300,1614,30800,
seq_200_50,19900,303800,10106,108400,1295,43700,1543,25300,1603,32700,
seq_200_51,19900,308900,10485,114900,1299,40800,1477,25500,1409,52700,
seq_200_52,19900,302700,9642,103500,1282,43800,1357,24700,1884,35300,
seq_200_53,19900,301500,9565,105400,1266,41600,1505,23400,1497,28500,
seq_200_54,19900,297200,9562,107200,1285,41200,1465,25000,1532,30500,
seq_200_55,19900,302900,9127,101200,1283,39600,1430,24900,1560,29700,
seq_200_56,19900,311900,10809,115700,1279,41700,1643,28600,1516,29900,
seq_200_57,19900,301800,9818,105300,1286,41300,1513,27400,1857,31100,
seq_200_58,19900,305800,10042,107700,1280,41400,1456,24000,1433,29600,
seq_200_59,19900,300400,9535,102500,1278,40900,1703,27100,1739,48600,
seq_200_60,19900,317300,10527,112600,1294,44100,1590,25200,1459,28400,
seq_200_61,19900,306100,10110,111000,1275,40900,1659,25600,1565,30900,
seq_200_62,19900,296800,9144,104500,1284,41600,1402,24800,1665,32100,
seq_200_63,19900,341000,10359,114400,1274,40700,1571,27200,1652,31000,
seq_200_64,19900,299000,9183,99100,1286,41100,1702,26200,1547,30700,
seq_200_65,19900,311600,10260,109900,1289,41300,1560,24900,1813,31200,
seq_200_66,19900,308700,10012,107400,1279,41200,1722,27000,1365,31200,
seq_200_67,19900,297200,9619,103500,1279,41500,1487,24300,1815,39400,
seq_200_68,19900,304800,10114,108400,1276,42500,1514,24800,1555,29700,
seq_200_69,19900,298800,9822,105300,1275,42500,1599,25500,1641,30900,
seq_200_70,19900,311100,10747,117300,1287,39300,1468,24900,1559,29400,
seq_200_71,19900,309500,9863,111300,1292,39800,1469,25500,1681,30300,
seq_200_72,19900,308800,10633,116000,1273,39000,1401,23300,1573,29900,
seq_200_73,19900,306900,10336,110500,1284,39200,1597,25300,1665,29600,
seq_200_74,19900,294200,9431,101300,1283,41200,1342,24400,1606,31400,
seq_200_75,19900,382500,10460,112400,1270,45000,1611,33200,1626,31400,
seq_200_76,19900,307300,10421,111600,1276,40800,1647,27200,1514,28600,
seq_200_77,19900,298700,9322,100300,1282,40800,1410,23800,1414,27700,
seq_200_78,19900,313300,11019,117600,1288,40700,1598,26700,1611,32500,
seq_200_79,19900,301600,9415,101200,1293,43900,1599,24600,1632,30400,
seq_200_80,19900,314700,10833,118400,1291,42000,1530,26200,1646,31400,
seq_200_81,19900,298900,9064,100400,1282,41900,1475,25700,1454,29200,
seq_200_82,19900,307000,10066,110500,1281,41300,1569,24900,1421,28400,
seq_200_83,19900,307900,10727,116800,1282,41400,1525,26500,1635,32500,
